timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,isFallen
1688904613609034,-0.001065,-0.002929,-0.006658,1.063389,-0.0479,-9.83874,0
1688904613620987,-0.000266,-0.003462,-0.004527,1.063389,-0.0479,-9.83874,0
1688904613632933,-0.000266,-0.003462,-0.004527,0.996328,-0.076641,-9.627979,0
1688904613644840,0.0,-0.000799,-0.003196,0.996328,-0.076641,-9.627979,0
1688904613656901,0.0,-0.000799,-0.003196,1.005908,-0.05748,-9.704619,0
1688904613669007,-0.002929,0.000533,0.001065,1.005908,-0.05748,-9.704619,0
1688904613680984,-0.002929,0.000533,0.001065,0.814307,-0.335303,-9.580078,0
1688904613692968,-0.002663,0.005326,0.002663,0.814307,-0.335303,-9.580078,0
1688904613705001,-0.002663,0.005326,0.002663,1.322051,0.325723,-11.160791,0
1688904613716995,0.021039,0.001598,-0.0253,1.322051,0.325723,-11.160791,0
1688904613728993,0.021039,0.001598,-0.0253,1.896856,-0.411943,-10.260264,0
1688904613740985,0.020773,-0.011185,-0.044208,1.896856,-0.411943,-10.260264,0
1688904613752994,0.020773,-0.011185,-0.044208,1.513652,0.526904,-10.997931,0
1688904613765006,-0.082824,-0.011185,-0.010386,1.513652,0.526904,-10.997931,0
1688904613776987,-0.082824,-0.011185,-0.010386,-1.820215,-0.143701,-11.112891,0
1688904613789018,-0.007723,0.25593,0.034887,-1.820215,-0.143701,-11.112891,0
1688904613801056,-0.007723,0.25593,0.034887,0.689766,-2.557881,-10.231524,0
1688904613813024,0.176301,0.207194,-0.161121,0.689766,-2.557881,-10.231524,0
1688904613825011,0.176301,0.207194,-0.161121,2.270479,-0.661025,-8.698711,0
1688904613837087,0.047404,0.24288,-0.148604,2.270479,-0.661025,-8.698711,0
1688904613849149,0.047404,0.24288,-0.148604,2.509981,0.402363,-9.034014,0
1688904613861079,-0.136886,0.034887,-0.017577,2.509981,0.402363,-9.034014,0
1688904613873081,-0.136886,0.034887,-0.017577,6.562354,0.392783,-9.350157,0
1688904613885112,-0.016245,-0.504935,-0.064448,6.562354,0.392783,-9.350157,0
1688904613897181,-0.016245,-0.504935,-0.064448,3.171006,-0.172441,-8.871153,0
1688904613909133,0.003462,-0.858337,-0.087352,3.171006,-0.172441,-8.871153,0
1688904613921119,0.003462,-0.858337,-0.087352,0.172441,0.431104,-8.947793,0
1688904613933182,-0.032757,-0.64848,-0.034088,0.172441,0.431104,-8.947793,0
1688904613945175,-0.032757,-0.64848,-0.034088,-1.494492,0.450264,-10.059082,0
1688904613957128,-0.015979,-0.685231,0.009321,-1.494492,0.450264,-10.059082,0
1688904613969182,-0.015979,-0.685231,0.009321,-1.437012,0.153281,-9.637559,0
1688904613981338,0.008522,-0.582167,0.047671,-1.437012,0.153281,-9.637559,0
1688904613993208,0.008522,-0.582167,0.047671,-0.421523,-0.153281,-9.78126,0
1688904614005256,0.047404,-0.487092,0.080427,-0.421523,-0.153281,-9.78126,0
1688904614017137,0.047404,-0.487092,0.080427,0.574805,-0.182021,-9.733359,0
1688904614029253,0.052997,-0.284426,0.12943,0.574805,-0.182021,-9.733359,0
1688904614041223,0.052997,-0.284426,0.12943,0.067061,0.210762,-9.81958,0
1688904614053253,-0.022371,-0.004261,0.17204,0.067061,0.210762,-9.81958,0
1688904614065221,-0.022371,-0.004261,0.17204,0.277822,-0.603545,-11.783497,0
1688904614077216,0.029295,-0.026632,0.100667,0.277822,-0.603545,-11.783497,0
1688904614089193,0.029295,-0.026632,0.100667,0.364043,-0.469424,-11.05541,0
1688904614101199,-0.013316,0.075101,0.087085,0.364043,-0.469424,-11.05541,0
1688904614113237,-0.013316,0.075101,0.087085,-0.459844,-0.01916,-12.377461,0
1688904614125310,-0.025566,0.093211,0.123837,-0.459844,-0.01916,-12.377461,0
1688904614137198,-0.025566,0.093211,0.123837,-0.191602,0.067061,-9.014853,0
1688904614149214,0.035686,0.147006,0.050866,-0.191602,0.067061,-9.014853,0
1688904614161179,0.035686,0.147006,0.050866,0.574805,0.067061,-5.594766,0
1688904614173192,0.027164,0.311057,0.008256,0.574805,0.067061,-5.594766,0
1688904614185301,0.027164,0.311057,0.008256,-1.322051,-0.526904,-10.566827,0
1688904614197252,-0.027963,0.182693,0.068177,-1.322051,-0.526904,-10.566827,0
1688904614209219,-0.027963,0.182693,0.068177,0.613125,-0.785566,-11.783497,0
1688904614221294,-0.032224,0.024767,0.113717,0.613125,-0.785566,-11.783497,0
1688904614233383,-0.032224,0.024767,0.113717,1.590293,-0.258662,-10.490186,0
1688904614245308,0.006924,0.159257,0.075367,1.590293,-0.258662,-10.490186,0
1688904614257430,0.006924,0.159257,0.075367,0.383203,-0.546064,-8.909473,0
1688904614269285,0.046605,0.314253,-0.029295,0.383203,-0.546064,-8.909473,0
1688904614281357,0.046605,0.314253,-0.029295,-0.182021,-0.632285,-8.871153,0
1688904614293339,0.021838,0.257794,-0.053796,-0.182021,-0.632285,-8.871153,0
1688904614305383,0.021838,0.257794,-0.053796,1.005908,-0.498164,-10.547667,0
1688904614317360,-0.01012,0.162187,-0.041812,1.005908,-0.498164,-10.547667,0
1688904614329414,-0.01012,0.162187,-0.041812,1.24541,-0.383203,-9.675879,0
1688904614341386,-0.023436,0.201601,-0.045806,1.24541,-0.383203,-9.675879,0
1688904614353342,-0.023436,0.201601,-0.045806,0.986748,0.02874,-9.177715,0
1688904614365359,-0.005326,0.249006,-0.066845,0.986748,0.02874,-9.177715,0
1688904614377346,-0.005326,0.249006,-0.066845,0.900527,0.01916,-9.340576,0
1688904614389393,-0.005593,0.172839,-0.07883,0.900527,0.01916,-9.340576,0
1688904614401340,-0.005593,0.172839,-0.07883,1.283731,0.05748,-10.202784,0
1688904614413449,-0.011452,0.066046,-0.056459,1.283731,0.05748,-10.202784,0
1688904614425341,-0.011452,0.066046,-0.056459,1.360371,0.05748,-9.79084,0
1688904614437535,-0.002929,0.049002,-0.013316,1.360371,0.05748,-9.79084,0
1688904614449762,-0.002929,0.049002,-0.013316,1.130449,0.01916,-9.283096,0
1688904614461723,-0.003462,0.06365,-0.002663,1.130449,0.01916,-9.283096,0
1688904614473729,-0.003462,0.06365,-0.002663,0.708926,-0.03832,-9.77168,0
1688904614485862,0.007457,-0.007191,-0.009055,0.708926,-0.03832,-9.77168,0
1688904614497851,0.007457,-0.007191,-0.009055,1.369951,-0.00958,-9.474698,0
1688904614509967,0.017044,-0.079895,0.020506,1.369951,-0.00958,-9.474698,0
1688904614521774,0.017044,-0.079895,0.020506,1.16877,0.134121,-9.503438,0
1688904614533852,0.001332,-0.068443,0.049002,1.16877,0.134121,-9.503438,0
1688904614545922,0.001332,-0.068443,0.049002,0.900527,0.182021,-9.666299,0
1688904614557842,-0.011185,-0.064182,0.038616,0.900527,0.182021,-9.666299,0
1688904614569876,-0.011185,-0.064182,0.038616,0.584385,-0.095801,-9.618399,0
1688904614581832,-0.007723,-0.082824,0.033023,0.584385,-0.095801,-9.618399,0
1688904614593963,-0.007723,-0.082824,0.033023,0.737666,-0.229922,-9.64714,0
1688904614605899,0.002131,-0.084689,0.037284,0.737666,-0.229922,-9.64714,0
1688904614617848,0.002131,-0.084689,0.037284,0.574805,-0.258662,-9.992022,0
1688904614629909,0.011452,-0.047671,0.042344,0.574805,-0.258662,-9.992022,0
1688904614641903,0.011452,-0.047671,0.042344,0.718506,-0.172441,-9.627979,0
1688904614653910,0.017843,-0.006125,0.031692,0.718506,-0.172441,-9.627979,0
1688904614665987,0.017843,-0.006125,0.031692,0.498164,-0.364043,-9.551338,0
1688904614677917,0.012783,0.012517,0.014115,0.498164,-0.364043,-9.551338,0
1688904614689812,0.012783,0.012517,0.014115,0.603545,-0.344883,-10.078242,0
1688904614702151,0.007191,0.032757,0.001864,0.603545,-0.344883,-10.078242,0
1688904614713933,0.007191,0.032757,0.001864,0.680186,-0.325723,-9.580078,0
1688904614725941,0.001332,0.072704,-0.004527,0.680186,-0.325723,-9.580078,0
1688904614738066,0.001332,0.072704,-0.004527,0.632285,-0.258662,-9.244776,0
1688904614750093,-0.013848,0.100401,-0.003728,0.632285,-0.258662,-9.244776,0
1688904614762163,-0.013848,0.100401,-0.003728,0.708926,-0.239502,-9.896221,0
1688904614774101,-0.010653,0.071639,-0.013316,0.708926,-0.239502,-9.896221,0
1688904614786000,-0.010653,0.071639,-0.013316,0.938848,-0.277822,-9.64714,0
1688904614798159,-0.00506,0.034621,-0.002397,0.938848,-0.277822,-9.64714,0
1688904614810094,-0.00506,0.034621,-0.002397,1.130449,-0.134121,-9.79084,0
1688904614821972,-0.011718,0.037018,0.013316,1.130449,-0.134121,-9.79084,0
1688904614834242,-0.011718,0.037018,0.013316,0.919688,-0.095801,-9.78126,0
1688904614846071,-0.014115,0.026898,-0.002131,0.919688,-0.095801,-9.78126,0
1688904614858038,-0.014115,0.026898,-0.002131,1.053809,-0.172441,-9.64714,0
1688904614870257,-0.011185,-0.001065,-0.007989,1.053809,-0.172441,-9.64714,0
1688904614882216,-0.011185,-0.001065,-0.007989,0.833467,-0.172441,-9.541759,0
1688904614894354,0.00506,0.085221,0.020773,0.833467,-0.172441,-9.541759,0
1688904614906397,0.00506,0.085221,0.020773,-0.919688,-0.162861,-10.997931,0
1688904614918304,-0.14674,0.436492,0.00506,-0.919688,-0.162861,-10.997931,0
1688904614930321,-0.14674,0.436492,0.00506,-2.040557,-0.086221,-8.851993,0
1688904614942434,-0.114782,0.141148,-0.043676,-2.040557,-0.086221,-8.851993,0
1688904614954401,-0.114782,0.141148,-0.043676,1.025068,-0.0479,-9.024434,0
1688904614966273,0.046339,-0.117179,-0.010653,1.025068,-0.0479,-9.024434,0
1688904614978547,0.046339,-0.117179,-0.010653,1.580713,-0.210762,-10.020762,0
1688904614990448,0.103597,-0.048203,0.042877,1.580713,-0.210762,-10.020762,0
1688904615002606,0.103597,-0.048203,0.042877,1.015488,-0.086221,-10.384805,0
1688904615014583,-0.023702,0.222108,0.055127,1.015488,-0.086221,-10.384805,0
1688904615026519,-0.023702,0.222108,0.055127,0.277822,-0.249082,-9.263936,0
1688904615038600,-0.004261,0.309992,0.009854,0.277822,-0.249082,-9.263936,0
1688904615050494,-0.004261,0.309992,0.009854,0.526904,0.0479,-9.81958,0
1688904615062725,0.022371,0.165649,0.016512,0.526904,0.0479,-9.81958,0
1688904615074556,0.022371,0.165649,0.016512,1.446592,0.258662,-9.618399,0
1688904615086485,0.004527,0.062318,0.021838,1.446592,0.258662,-9.618399,0
1688904615098647,0.004527,0.062318,0.021838,1.542393,-0.124541,-8.899893,0
1688904615110613,-0.073237,0.15979,0.024767,1.542393,-0.124541,-8.899893,0
1688904615122593,-0.073237,0.15979,0.024767,0.565225,0.450264,-9.503438,0
1688904615134708,-0.049268,0.201069,0.012251,0.565225,0.450264,-9.503438,0
1688904615146611,-0.049268,0.201069,0.012251,0.977168,-0.00958,-9.656719,0
1688904615158588,0.098271,0.162985,-0.034355,0.977168,-0.00958,-9.656719,0
1688904615170772,0.098271,0.162985,-0.034355,2.308799,-0.603545,-9.436378,0
1688904615182639,0.079629,0.093743,0.003196,2.308799,-0.603545,-9.436378,0
1688904615194823,0.079629,0.093743,0.003196,1.24541,-1.743574,-9.398057,0
1688904615206749,-0.059122,0.113717,0.139816,1.24541,-1.743574,-9.398057,0
1688904615218636,-0.059122,0.113717,0.139816,-0.02874,-0.076641,-9.69504,0
1688904615230827,0.255397,-0.030626,0.115848,-0.02874,-0.076641,-9.69504,0
1688904615242733,0.255397,-0.030626,0.115848,-0.814307,-1.762734,-11.199112,0
1688904615254678,0.521447,-0.254598,-0.143811,-0.814307,-1.762734,-11.199112,0
1688904615266841,0.521447,-0.254598,-0.143811,-0.364043,0.450264,-9.618399,0
1688904615278834,0.117712,-0.478836,-0.250337,-0.364043,0.450264,-9.618399,0
1688904615290721,0.117712,-0.478836,-0.250337,0.402363,0.316143,-9.407638,0
1688904615302820,-0.648213,-0.440487,-0.361391,0.402363,0.316143,-9.407638,0
1688904615314812,-0.648213,-0.440487,-0.361391,3.448828,-0.958008,-7.711963,0
1688904615326783,-0.311057,0.301736,-0.068976,3.448828,-0.958008,-7.711963,0
1688904615338841,-0.311057,0.301736,-0.068976,-2.893184,2.960244,-8.861572,0
1688904615350740,0.013316,0.473776,0.287888,-2.893184,2.960244,-8.861572,0
1688904615362802,0.013316,0.473776,0.287888,4.655918,1.925596,-9.81,0
1688904615374895,-0.192014,0.700944,0.284692,4.655918,1.925596,-9.81,0
1688904615386922,-0.192014,0.700944,0.284692,0.958008,-1.417852,-11.208692,0
1688904615398896,-0.241815,1.206146,0.028762,0.958008,-1.417852,-11.208692,0
1688904615410850,-0.241815,1.206146,0.028762,2.251318,-2.931504,-10.614727,0
1688904615422864,0.27111,1.381648,0.066579,2.251318,-2.931504,-10.614727,0
1688904615434975,0.27111,1.381648,0.066579,0.785566,-0.977168,-9.896221,0
1688904615446927,0.456732,0.757137,0.01012,0.785566,-0.977168,-9.896221,0
1688904615458804,0.456732,0.757137,0.01012,3.487149,-0.210762,-9.72378,0
1688904615471058,0.091879,0.40267,-0.214118,3.487149,-0.210762,-9.72378,0
1688904615482965,0.091879,0.40267,-0.214118,2.787803,0.469424,-9.321417,0
1688904615495048,0.022903,0.26099,-0.347543,2.787803,0.469424,-9.321417,0
1688904615507025,0.022903,0.26099,-0.347543,1.676514,-0.814307,-8.746612,0
1688904615518919,-0.122239,-0.020506,-0.144077,1.676514,-0.814307,-8.746612,0
1688904615531100,-0.122239,-0.020506,-0.144077,1.916016,0.843047,-8.823253,0
1688904615542963,-0.317715,-0.239685,0.053263,1.916016,0.843047,-8.823253,0
1688904615554951,-0.317715,-0.239685,0.053263,2.950664,0.622705,-10.279425,0
1688904615567072,-0.072172,-0.101999,0.005326,2.950664,0.622705,-10.279425,0
1688904615579026,-0.072172,-0.101999,0.005326,2.931504,0.411943,-8.746612,0
1688904615591058,0.041013,0.071373,-0.044741,2.931504,0.411943,-8.746612,0
1688904615603160,0.041013,0.071373,-0.044741,1.973496,-0.182021,-9.350157,0
1688904615615088,0.023968,-0.036219,0.001864,1.973496,-0.182021,-9.350157,0
1688904615627028,0.023968,-0.036219,0.001864,3.103945,0.632285,-10.997931,0
1688904615639297,0.041812,-0.12437,0.043676,3.103945,0.632285,-10.997931,0
1688904615651192,0.041812,-0.12437,0.043676,3.343447,-0.172441,-8.468789,0
1688904615663099,0.030626,-0.078563,0.078563,3.343447,-0.172441,-8.468789,0
1688904615675285,0.030626,-0.078563,0.078563,1.398691,-0.076641,-8.823253,0
1688904615687253,-0.024501,-0.157659,0.103863,1.398691,-0.076641,-8.823253,0
1688904615699408,-0.024501,-0.157659,0.103863,2.701582,0.402363,-10.700948,0
1688904615711284,0.051133,-0.380033,0.062851,2.701582,0.402363,-10.700948,0
1688904615723305,0.051133,-0.380033,0.062851,2.969824,-0.076641,-9.398057,0
1688904615735330,0.03329,-0.496413,0.002929,2.969824,-0.076641,-9.398057,0
1688904615747257,0.03329,-0.496413,0.002929,2.672842,-0.134121,-9.436378,0
1688904615759255,0.007723,-0.476972,0.038882,2.672842,-0.134121,-9.436378,0
1688904615771522,0.007723,-0.476972,0.038882,1.772315,0.689766,-10.241104,0
1688904615783252,0.003728,-0.489489,0.070041,1.772315,0.689766,-10.241104,0
1688904615795529,0.003728,-0.489489,0.070041,1.398691,0.354463,-9.64714,0
1688904615807367,0.019441,-0.519849,0.028762,1.398691,0.354463,-9.64714,0
1688904615819355,0.019441,-0.519849,0.028762,1.772315,0.086221,-10.317744,0
1688904615831550,0.019441,-0.486027,0.124902,1.772315,0.086221,-10.317744,0
1688904615843471,0.019441,-0.486027,0.124902,1.916016,-0.0479,-9.359736,0
1688904615855347,-0.052198,-0.375239,0.186155,1.916016,-0.0479,-9.359736,0
1688904615867540,-0.052198,-0.375239,0.186155,0.651445,-0.526904,-10.116563,0
1688904615879506,0.073503,-0.266316,0.107858,0.651445,-0.526904,-10.116563,0
1688904615891469,0.073503,-0.266316,0.107858,1.379531,-1.465752,-9.388477,0
1688904615903627,0.05859,-0.267381,0.055127,1.379531,-1.465752,-9.388477,0
1688904615915474,0.05859,-0.267381,0.055127,0.373623,-1.753154,-10.432706,0
1688904615927689,-0.12144,-0.308394,0.1012,0.373623,-1.753154,-10.432706,0
