timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,isFallen,willFall_dt
1688904613583719,0.0,0.000799,0.006125,-0.929268,-0.00958,-9.78126,0,163387103
1688904613595690,0.0,0.000799,0.006125,-0.977168,-0.05748,-9.81,0,163375132
1688904613607606,0.001598,0.0,0.003462,-0.977168,-0.05748,-9.81,0,163363216
1688904613619584,0.001598,0.0,0.003462,-0.890947,-0.03832,-9.656719,0,163351238
1688904613631557,0.000799,0.003462,0.002397,-0.890947,-0.03832,-9.656719,0,163339265
1688904613643608,0.000799,0.003462,0.002397,-0.929268,-0.0479,-9.7142,0,163327214
1688904613655686,0.001598,0.008788,0.002663,-0.929268,-0.0479,-9.7142,0,163315136
1688904613667660,0.001598,0.008788,0.002663,-0.402363,-0.162861,-9.369317,0,163303162
1688904613679674,0.003995,-0.034621,-0.004794,-0.402363,-0.162861,-9.369317,0,163291148
1688904613691675,0.003995,-0.034621,-0.004794,-0.383203,-0.00958,-11.05541,0,163279147
1688904613703669,0.032224,-0.145941,-0.029561,-0.383203,-0.00958,-11.05541,0,163267153
1688904613715675,0.032224,-0.145941,-0.029561,-1.916016,-0.364043,-11.064991,0,163255147
1688904613727667,0.049002,-0.144876,-0.065247,-1.916016,-0.364043,-11.064991,0,163243155
1688904613739687,0.049002,-0.144876,-0.065247,-4.004473,-0.661025,-9.627979,0,163231135
1688904613751669,0.030626,0.136354,-0.097472,-4.004473,-0.661025,-9.627979,0,163219153
1688904613763712,0.030626,0.136354,-0.097472,-2.864444,-0.162861,-9.7142,0,163207110
1688904613775697,-0.033822,0.209058,-0.097738,-2.864444,-0.162861,-9.7142,0,163195125
1688904613787746,-0.033822,0.209058,-0.097738,0.335303,0.229922,-9.675879,0,163183076
1688904613799707,0.040746,0.194144,-0.060986,0.335303,0.229922,-9.675879,0,163171115
1688904613811724,0.040746,0.194144,-0.060986,1.647774,0.843047,-10.509346,0,163159098
1688904613823699,0.072438,0.208792,-0.071639,1.647774,0.843047,-10.509346,0,163147123
1688904613835688,0.072438,0.208792,-0.071639,9.005274,0.526904,-8.210127,0,163135134
1688904613847736,-0.081759,-0.682568,-0.008256,9.005274,0.526904,-8.210127,0,163123086
1688904613859781,-0.081759,-0.682568,-0.008256,0.210762,0.344883,-8.851993,0,163111041
1688904613871763,-0.019441,-0.567253,0.002397,0.210762,0.344883,-8.851993,0,163099059
1688904613883800,-0.019441,-0.567253,0.002397,-4.962481,0.450264,-11.496095,0,163087022
1688904613895732,-0.055127,-0.758468,0.016245,-4.962481,0.450264,-11.496095,0,163075090
1688904613907916,-0.055127,-0.758468,0.016245,-4.761299,-0.067061,-9.75252,0,163062906
1688904613919944,0.009055,-0.391218,0.022637,-4.761299,-0.067061,-9.75252,0,163050878
1688904613931827,0.009055,-0.391218,0.022637,-3.199746,-0.153281,-8.842413,0,163038995
1688904613943789,0.118244,-0.331297,0.048736,-3.199746,-0.153281,-8.842413,0,163027033
1688904613955876,0.118244,-0.331297,0.048736,-2.902764,0.134121,-8.50711,0,163014946
1688904613967921,0.090015,-0.180296,0.052997,-2.902764,0.134121,-8.50711,0,163002901
1688904613979827,0.090015,-0.180296,0.052997,-0.440684,-0.05748,-9.148975,0,162990995
1688904613991896,0.045806,-0.257528,-0.003196,-0.440684,-0.05748,-9.148975,0,162978926
1688904614003817,0.045806,-0.257528,-0.003196,-2.979404,-0.258662,-10.451866,0,162967005
1688904614015806,-0.097738,0.088683,0.006658,-2.979404,-0.258662,-10.451866,0,162955016
1688904614027840,-0.097738,0.088683,0.006658,-2.759063,-0.03832,-10.346485,0,162942982
1688904614039875,-0.095874,0.140349,0.040746,-2.759063,-0.03832,-10.346485,0,162930947
1688904614051891,-0.095874,0.140349,0.040746,-3.180586,0.153281,-11.00751,0,162918931
1688904614063898,0.06578,0.173904,0.0,-3.180586,0.153281,-11.00751,0,162906924
1688904614075882,0.06578,0.173904,0.0,-0.498164,-0.325723,-8.995694,0,162894940
1688904614087903,0.03036,0.275105,-0.000533,-0.498164,-0.325723,-8.995694,0,162882919
1688904614099879,0.03036,0.275105,-0.000533,-1.360371,0.03832,-7.558682,0,162870943
1688904614111875,-0.078563,0.444482,0.037284,-1.360371,0.03832,-7.558682,0,162858947
1688904614123877,-0.078563,0.444482,0.037284,-2.289639,0.00958,-8.277188,0,162846945
1688904614135966,-0.07084,0.428503,0.000799,-2.289639,0.00958,-8.277188,0,162834856
1688904614147953,-0.07084,0.428503,0.000799,-1.839375,0.00958,-9.81,0,162822869
1688904614160048,0.029827,0.308394,-0.036485,-1.839375,0.00958,-9.81,0,162810774
1688904614172054,0.029827,0.308394,-0.036485,-0.977168,-0.182021,-10.758429,0,162798768
1688904614184030,0.023702,0.329699,-0.006924,-0.977168,-0.182021,-10.758429,0,162786792
1688904614196020,0.023702,0.329699,-0.006924,-0.804727,0.05748,-9.302257,0,162774802
1688904614208112,-0.049801,0.433829,0.001332,-0.804727,0.05748,-9.302257,0,162762710
1688904614220025,-0.049801,0.433829,0.001332,-0.996328,-0.0479,-9.474698,0,162750797
1688904614232034,-0.013582,0.385892,-0.022637,-0.996328,-0.0479,-9.474698,0,162738788
1688904614244030,-0.013582,0.385892,-0.022637,-0.392783,-0.00958,-9.445957,0,162726792
1688904614256024,0.035953,0.246609,-0.027963,-0.392783,-0.00958,-9.445957,0,162714798
1688904614268013,0.035953,0.246609,-0.027963,0.05748,0.124541,-9.848321,0,162702809
1688904614280143,-0.007457,0.190682,-0.016512,0.05748,0.124541,-9.848321,0,162690679
