timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,isFallen,willFall_dt
1688904613609034,-0.001065,-0.002929,-0.006658,1.063389,-0.0479,-9.83874,0,139706396
1688904613620987,-0.000266,-0.003462,-0.004527,1.063389,-0.0479,-9.83874,0,139694443
1688904613632933,-0.000266,-0.003462,-0.004527,0.996328,-0.076641,-9.627979,0,139682497
1688904613644840,0.0,-0.000799,-0.003196,0.996328,-0.076641,-9.627979,0,139670590
1688904613656901,0.0,-0.000799,-0.003196,1.005908,-0.05748,-9.704619,0,139658529
1688904613669007,-0.002929,0.000533,0.001065,1.005908,-0.05748,-9.704619,0,139646423
1688904613680984,-0.002929,0.000533,0.001065,0.814307,-0.335303,-9.580078,0,139634446
1688904613692968,-0.002663,0.005326,0.002663,0.814307,-0.335303,-9.580078,0,139622462
1688904613705001,-0.002663,0.005326,0.002663,1.322051,0.325723,-11.160791,0,139610429
1688904613716995,0.021039,0.001598,-0.0253,1.322051,0.325723,-11.160791,0,139598435
1688904613728993,0.021039,0.001598,-0.0253,1.896856,-0.411943,-10.260264,0,139586437
1688904613740985,0.020773,-0.011185,-0.044208,1.896856,-0.411943,-10.260264,0,139574445
1688904613752994,0.020773,-0.011185,-0.044208,1.513652,0.526904,-10.997931,0,139562436
1688904613765006,-0.082824,-0.011185,-0.010386,1.513652,0.526904,-10.997931,0,139550424
1688904613776987,-0.082824,-0.011185,-0.010386,-1.820215,-0.143701,-11.112891,0,139538443
1688904613789018,-0.007723,0.25593,0.034887,-1.820215,-0.143701,-11.112891,0,139526412
1688904613801056,-0.007723,0.25593,0.034887,0.689766,-2.557881,-10.231524,0,139514374
1688904613813024,0.176301,0.207194,-0.161121,0.689766,-2.557881,-10.231524,0,139502406
1688904613825011,0.176301,0.207194,-0.161121,2.270479,-0.661025,-8.698711,0,139490419
1688904613837087,0.047404,0.24288,-0.148604,2.270479,-0.661025,-8.698711,0,139478343
1688904613849149,0.047404,0.24288,-0.148604,2.509981,0.402363,-9.034014,0,139466281
1688904613861079,-0.136886,0.034887,-0.017577,2.509981,0.402363,-9.034014,0,139454351
1688904613873081,-0.136886,0.034887,-0.017577,6.562354,0.392783,-9.350157,0,139442349
1688904613885112,-0.016245,-0.504935,-0.064448,6.562354,0.392783,-9.350157,0,139430318
1688904613897181,-0.016245,-0.504935,-0.064448,3.171006,-0.172441,-8.871153,0,139418249
1688904613909133,0.003462,-0.858337,-0.087352,3.171006,-0.172441,-8.871153,0,139406297
1688904613921119,0.003462,-0.858337,-0.087352,0.172441,0.431104,-8.947793,0,139394311
1688904613933182,-0.032757,-0.64848,-0.034088,0.172441,0.431104,-8.947793,0,139382248
1688904613945175,-0.032757,-0.64848,-0.034088,-1.494492,0.450264,-10.059082,0,139370255
1688904613957128,-0.015979,-0.685231,0.009321,-1.494492,0.450264,-10.059082,0,139358302
1688904613969182,-0.015979,-0.685231,0.009321,-1.437012,0.153281,-9.637559,0,139346248
1688904613981338,0.008522,-0.582167,0.047671,-1.437012,0.153281,-9.637559,0,139334092
1688904613993208,0.008522,-0.582167,0.047671,-0.421523,-0.153281,-9.78126,0,139322222
1688904614005256,0.047404,-0.487092,0.080427,-0.421523,-0.153281,-9.78126,0,139310174
1688904614017137,0.047404,-0.487092,0.080427,0.574805,-0.182021,-9.733359,0,139298293
1688904614029253,0.052997,-0.284426,0.12943,0.574805,-0.182021,-9.733359,0,139286177
1688904614041223,0.052997,-0.284426,0.12943,0.067061,0.210762,-9.81958,0,139274207
1688904614053253,-0.022371,-0.004261,0.17204,0.067061,0.210762,-9.81958,0,139262177
1688904614065221,-0.022371,-0.004261,0.17204,0.277822,-0.603545,-11.783497,0,139250209
1688904614077216,0.029295,-0.026632,0.100667,0.277822,-0.603545,-11.783497,0,139238214
1688904614089193,0.029295,-0.026632,0.100667,0.364043,-0.469424,-11.05541,0,139226237
1688904614101199,-0.013316,0.075101,0.087085,0.364043,-0.469424,-11.05541,0,139214231
1688904614113237,-0.013316,0.075101,0.087085,-0.459844,-0.01916,-12.377461,0,139202193
1688904614125310,-0.025566,0.093211,0.123837,-0.459844,-0.01916,-12.377461,0,139190120
1688904614137198,-0.025566,0.093211,0.123837,-0.191602,0.067061,-9.014853,0,139178232
1688904614149214,0.035686,0.147006,0.050866,-0.191602,0.067061,-9.014853,0,139166216
1688904614161179,0.035686,0.147006,0.050866,0.574805,0.067061,-5.594766,0,139154251
1688904614173192,0.027164,0.311057,0.008256,0.574805,0.067061,-5.594766,0,139142238
1688904614185301,0.027164,0.311057,0.008256,-1.322051,-0.526904,-10.566827,0,139130129
1688904614197252,-0.027963,0.182693,0.068177,-1.322051,-0.526904,-10.566827,0,139118178
1688904614209219,-0.027963,0.182693,0.068177,0.613125,-0.785566,-11.783497,0,139106211
1688904614221294,-0.032224,0.024767,0.113717,0.613125,-0.785566,-11.783497,0,139094136
1688904614233383,-0.032224,0.024767,0.113717,1.590293,-0.258662,-10.490186,0,139082047
1688904614245308,0.006924,0.159257,0.075367,1.590293,-0.258662,-10.490186,0,139070122
1688904614257430,0.006924,0.159257,0.075367,0.383203,-0.546064,-8.909473,0,139058000
1688904614269285,0.046605,0.314253,-0.029295,0.383203,-0.546064,-8.909473,0,139046145
1688904614281357,0.046605,0.314253,-0.029295,-0.182021,-0.632285,-8.871153,0,139034073
1688904614293339,0.021838,0.257794,-0.053796,-0.182021,-0.632285,-8.871153,0,139022091
1688904614305383,0.021838,0.257794,-0.053796,1.005908,-0.498164,-10.547667,0,139010047
1688904614317360,-0.01012,0.162187,-0.041812,1.005908,-0.498164,-10.547667,0,138998070
1688904614329414,-0.01012,0.162187,-0.041812,1.24541,-0.383203,-9.675879,0,138986016
1688904614341386,-0.023436,0.201601,-0.045806,1.24541,-0.383203,-9.675879,0,138974044
1688904614353342,-0.023436,0.201601,-0.045806,0.986748,0.02874,-9.177715,0,138962088
1688904614365359,-0.005326,0.249006,-0.066845,0.986748,0.02874,-9.177715,0,138950071
1688904614377346,-0.005326,0.249006,-0.066845,0.900527,0.01916,-9.340576,0,138938084
1688904614389393,-0.005593,0.172839,-0.07883,0.900527,0.01916,-9.340576,0,138926037
1688904614401340,-0.005593,0.172839,-0.07883,1.283731,0.05748,-10.202784,0,138914090
1688904614413449,-0.011452,0.066046,-0.056459,1.283731,0.05748,-10.202784,0,138901981
1688904614425341,-0.011452,0.066046,-0.056459,1.360371,0.05748,-9.79084,0,138890089
1688904614437535,-0.002929,0.049002,-0.013316,1.360371,0.05748,-9.79084,0,138877895
1688904614449762,-0.002929,0.049002,-0.013316,1.130449,0.01916,-9.283096,0,138865668
1688904614461723,-0.003462,0.06365,-0.002663,1.130449,0.01916,-9.283096,0,138853707
1688904614473729,-0.003462,0.06365,-0.002663,0.708926,-0.03832,-9.77168,0,138841701
1688904614485862,0.007457,-0.007191,-0.009055,0.708926,-0.03832,-9.77168,0,138829568
1688904614497851,0.007457,-0.007191,-0.009055,1.369951,-0.00958,-9.474698,0,138817579
1688904614509967,0.017044,-0.079895,0.020506,1.369951,-0.00958,-9.474698,0,138805463
1688904614521774,0.017044,-0.079895,0.020506,1.16877,0.134121,-9.503438,0,138793656
1688904614533852,0.001332,-0.068443,0.049002,1.16877,0.134121,-9.503438,0,138781578
1688904614545922,0.001332,-0.068443,0.049002,0.900527,0.182021,-9.666299,0,138769508
1688904614557842,-0.011185,-0.064182,0.038616,0.900527,0.182021,-9.666299,0,138757588
1688904614569876,-0.011185,-0.064182,0.038616,0.584385,-0.095801,-9.618399,0,138745554
1688904614581832,-0.007723,-0.082824,0.033023,0.584385,-0.095801,-9.618399,0,138733598
1688904614593963,-0.007723,-0.082824,0.033023,0.737666,-0.229922,-9.64714,0,138721467
1688904614605899,0.002131,-0.084689,0.037284,0.737666,-0.229922,-9.64714,0,138709531
1688904614617848,0.002131,-0.084689,0.037284,0.574805,-0.258662,-9.992022,0,138697582
1688904614629909,0.011452,-0.047671,0.042344,0.574805,-0.258662,-9.992022,0,138685521
1688904614641903,0.011452,-0.047671,0.042344,0.718506,-0.172441,-9.627979,0,138673527
1688904614653910,0.017843,-0.006125,0.031692,0.718506,-0.172441,-9.627979,0,138661520
1688904614665987,0.017843,-0.006125,0.031692,0.498164,-0.364043,-9.551338,0,138649443
1688904614677917,0.012783,0.012517,0.014115,0.498164,-0.364043,-9.551338,0,138637513
1688904614689812,0.012783,0.012517,0.014115,0.603545,-0.344883,-10.078242,0,138625618
1688904614702151,0.007191,0.032757,0.001864,0.603545,-0.344883,-10.078242,0,138613279
1688904614713933,0.007191,0.032757,0.001864,0.680186,-0.325723,-9.580078,0,138601497
1688904614725941,0.001332,0.072704,-0.004527,0.680186,-0.325723,-9.580078,0,138589489
1688904614738066,0.001332,0.072704,-0.004527,0.632285,-0.258662,-9.244776,0,138577364
1688904614750093,-0.013848,0.100401,-0.003728,0.632285,-0.258662,-9.244776,0,138565337
1688904614762163,-0.013848,0.100401,-0.003728,0.708926,-0.239502,-9.896221,0,138553267
1688904614774101,-0.010653,0.071639,-0.013316,0.708926,-0.239502,-9.896221,0,138541329
1688904614786000,-0.010653,0.071639,-0.013316,0.938848,-0.277822,-9.64714,0,138529430
1688904614798159,-0.00506,0.034621,-0.002397,0.938848,-0.277822,-9.64714,0,138517271
1688904614810094,-0.00506,0.034621,-0.002397,1.130449,-0.134121,-9.79084,0,138505336
1688904614821972,-0.011718,0.037018,0.013316,1.130449,-0.134121,-9.79084,0,138493458
1688904614834242,-0.011718,0.037018,0.013316,0.919688,-0.095801,-9.78126,0,138481188
1688904614846071,-0.014115,0.026898,-0.002131,0.919688,-0.095801,-9.78126,0,138469359
1688904614858038,-0.014115,0.026898,-0.002131,1.053809,-0.172441,-9.64714,0,138457392
1688904614870257,-0.011185,-0.001065,-0.007989,1.053809,-0.172441,-9.64714,0,138445173
1688904614882216,-0.011185,-0.001065,-0.007989,0.833467,-0.172441,-9.541759,0,138433214
1688904614894354,0.00506,0.085221,0.020773,0.833467,-0.172441,-9.541759,0,138421076
1688904614906397,0.00506,0.085221,0.020773,-0.919688,-0.162861,-10.997931,0,138409033
1688904614918304,-0.14674,0.436492,0.00506,-0.919688,-0.162861,-10.997931,0,138397126
1688904614930321,-0.14674,0.436492,0.00506,-2.040557,-0.086221,-8.851993,0,138385109
1688904614942434,-0.114782,0.141148,-0.043676,-2.040557,-0.086221,-8.851993,0,138372996
1688904614954401,-0.114782,0.141148,-0.043676,1.025068,-0.0479,-9.024434,0,138361029
1688904614966273,0.046339,-0.117179,-0.010653,1.025068,-0.0479,-9.024434,0,138349157
