timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,bodyPitch,bodyRoll
1688904613583719,0.000000,0.000799,0.006125,-0.929268,-0.009580,-9.781260,-0.096426,-0.000385
1688904613595690,0.000000,0.000799,0.006125,-0.977168,-0.057480,-9.810000,-0.097417,0.001878
1688904613607606,0.001598,0.000000,0.003462,-0.977168,-0.057480,-9.810000,-0.098438,0.004098
1688904613619584,0.001598,0.000000,0.003462,-0.890947,-0.038320,-9.656719,-0.096050,0.004089
1688904613631557,0.000799,0.003462,0.002397,-0.890947,-0.038320,-9.656719,-0.093620,0.004046
1688904613643608,0.000799,0.003462,0.002397,-0.929268,-0.047900,-9.714200,-0.095714,0.005154
1688904613655686,0.001598,0.008788,0.002663,-0.929268,-0.047900,-9.714200,-0.093598,0.003882
1688904613667660,0.001598,0.008788,0.002663,-0.402363,-0.162861,-9.369317,-0.091183,0.004530
1688904613679674,0.003995,-0.034621,-0.004794,-0.402363,-0.162861,-9.369317,-0.089287,0.005086
1688904613691675,0.003995,-0.034621,-0.004794,-0.383203,-0.009580,-11.055410,-0.087319,0.004839
1688904613703669,0.032224,-0.145941,-0.029561,-0.383203,-0.009580,-11.055410,-0.086688,0.004271
1688904613715675,0.032224,-0.145941,-0.029561,-1.916016,-0.364043,-11.064991,-0.090710,0.004642
1688904613727667,0.049002,-0.144876,-0.065247,-1.916016,-0.364043,-11.064991,-0.094711,0.004588
1688904613739687,0.049002,-0.144876,-0.065247,-4.004473,-0.661025,-9.627979,-0.098795,0.004221
1688904613751669,0.030626,0.136354,-0.097472,-4.004473,-0.661025,-9.627979,-0.099500,0.003495
1688904613763712,0.030626,0.136354,-0.097472,-2.864444,-0.162861,-9.714200,-0.100248,0.002452
1688904613775697,-0.033822,0.209058,-0.097738,-2.864444,-0.162861,-9.714200,-0.100120,0.001497
1688904613787746,-0.033822,0.209058,-0.097738,0.335303,0.229922,-9.675879,-0.095263,-0.000080
1688904613799707,0.040746,0.194144,-0.060986,0.335303,0.229922,-9.675879,-0.090582,-0.001288
1688904613811724,0.040746,0.194144,-0.060986,1.647774,0.843047,-10.509346,-0.085973,-0.002795
1688904613823699,0.072438,0.208792,-0.071639,1.647774,0.843047,-10.509346,-0.081186,-0.004458
1688904613835688,0.072438,0.208792,-0.071639,9.005274,0.526904,-8.210127,-0.076287,-0.005507
1688904613847736,-0.081759,-0.682568,-0.008256,9.005274,0.526904,-8.210127,-0.082093,-0.005652
1688904613859781,-0.081759,-0.682568,-0.008256,0.210762,0.344883,-8.851993,-0.088008,-0.006393
1688904613871763,-0.019441,-0.567253,0.002397,0.210762,0.344883,-8.851993,-0.092521,-0.007020
1688904613883800,-0.019441,-0.567253,0.002397,-4.962481,0.450264,-11.496095,-0.101707,-0.007201
1688904613895732,-0.055127,-0.758468,0.016245,-4.962481,0.450264,-11.496095,-0.113189,-0.007175
1688904613907916,-0.055127,-0.758468,0.016245,-4.761299,-0.067061,-9.752520,-0.124677,-0.006818
1688904613919944,0.009055,-0.391218,0.022637,-4.761299,-0.067061,-9.752520,-0.131750,-0.006473
1688904613931827,0.009055,-0.391218,0.022637,-3.199746,-0.153281,-8.842413,-0.138810,-0.005970
1688904613943789,0.118244,-0.331297,0.048736,-3.199746,-0.153281,-8.842413,-0.145141,-0.005338
1688904613955876,0.118244,-0.331297,0.048736,-2.902764,0.134121,-8.507110,-0.151480,-0.005098
1688904613967921,0.090015,-0.180296,0.052997,-2.902764,0.134121,-8.507110,-0.156007,-0.004768
1688904613979827,0.090015,-0.180296,0.052997,-0.440684,-0.057480,-9.148975,-0.155807,-0.004059
1688904613991896,0.045806,-0.257528,-0.003196,-0.440684,-0.057480,-9.148975,-0.156535,-0.003956
1688904614003817,0.045806,-0.257528,-0.003196,-2.979404,-0.258662,-10.451866,-0.161936,-0.003549
1688904614015806,-0.097738,0.088683,0.006658,-2.979404,-0.258662,-10.451866,-0.163183,-0.002725
1688904614027840,-0.097738,0.088683,0.006658,-2.759063,-0.038320,-10.346485,-0.164486,-0.002298
1688904614039875,-0.095874,0.140349,0.040746,-2.759063,-0.038320,-10.346485,-0.165169,-0.001472
1688904614051891,-0.095874,0.140349,0.040746,-3.180586,0.153281,-11.007510,-0.165842,-0.001037
1688904614063898,0.065780,0.173904,0.000000,-3.180586,0.153281,-11.007510,-0.166109,-0.001426
1688904614075882,0.065780,0.173904,0.000000,-0.498164,-0.325723,-8.995694,-0.161776,-0.000783
1688904614087903,0.030360,0.275105,-0.000533,-0.498164,-0.325723,-8.995694,-0.156233,-0.000059
1688904614099879,0.030360,0.275105,-0.000533,-1.360371,0.038320,-7.558682,-0.155246,-0.000651
1688904614111875,-0.078563,0.444482,0.037284,-1.360371,0.038320,-7.558682,-0.152244,-0.000507
1688904614123877,-0.078563,0.444482,0.037284,-2.289639,0.009580,-8.277188,-0.149284,0.000071
1688904614135966,-0.070840,0.428503,0.000799,-2.289639,0.009580,-8.277188,-0.146517,0.000184
1688904614147953,-0.070840,0.428503,0.000799,-1.839375,0.009580,-9.810000,-0.143749,0.000247
1688904614160048,0.029827,0.308394,-0.036485,-1.839375,0.009580,-9.810000,-0.142423,-0.000312
1688904614172054,0.029827,0.308394,-0.036485,-0.977168,-0.182021,-10.758429,-0.136464,-0.000045
1688904614184030,0.023702,0.329699,-0.006924,-0.977168,-0.182021,-10.758429,-0.130272,0.000664
1688904614196020,0.023702,0.329699,-0.006924,-0.804727,0.057480,-9.302257,-0.123963,0.000177
1688904614208112,-0.049801,0.433829,0.001332,-0.804727,0.057480,-9.302257,-0.116407,-0.000133
1688904614220025,-0.049801,0.433829,0.001332,-0.996328,-0.047900,-9.474698,-0.109018,0.000924
1688904614232034,-0.013582,0.385892,-0.022637,-0.996328,-0.047900,-9.474698,-0.102667,0.002342
1688904614244030,-0.013582,0.385892,-0.022637,-0.392783,-0.009580,-9.445957,-0.095648,0.002034
1688904614256024,0.035953,0.246609,-0.027963,-0.392783,-0.009580,-9.445957,-0.090300,0.001612
1688904614268013,0.035953,0.246609,-0.027963,0.057480,0.124541,-9.848321,-0.084976,0.000886
1688904614280143,-0.007457,0.190682,-0.016512,0.057480,0.124541,-9.848321,-0.080322,0.000341
1688904614292127,-0.007457,0.190682,-0.016512,-0.134121,0.229922,-9.695040,-0.075783,-0.000668
1688904614304114,-0.039681,0.152865,-0.013582,-0.134121,0.229922,-9.695040,-0.071705,-0.001633
1688904614316143,-0.039681,0.152865,-0.013582,-0.431104,0.086221,-9.216036,-0.067584,-0.002471
1688904614328129,-0.023968,0.076965,-0.005326,-0.431104,0.086221,-9.216036,-0.064386,-0.003268
1688904614340119,-0.023968,0.076965,-0.005326,-0.344883,0.210762,-9.810000,-0.061429,-0.004582
1688904614352246,0.009587,-0.030094,0.000533,-0.344883,0.210762,-9.810000,-0.059773,-0.005881
1688904614364251,0.009587,-0.030094,0.000533,-0.057480,0.220342,-9.810000,-0.057843,-0.006588
1688904614376244,0.018109,-0.064715,0.009587,-0.057480,0.220342,-9.810000,-0.056326,-0.007186
1688904614388223,0.018109,-0.064715,0.009587,-0.766406,0.162861,-9.580078,-0.059313,-0.008007
1688904614400541,-0.012517,-0.075101,0.022371,-0.766406,0.162861,-9.580078,-0.062410,-0.008691
1688904614412405,-0.012517,-0.075101,0.022371,-0.919688,0.009580,-9.742940,-0.065641,-0.007849
