timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,bodyPitch,bodyRoll
1688904613609034,-0.001065,-0.002929,-0.006658,1.063389,-0.047900,-9.838740,0.106503,0.008772
1688904613620987,-0.000266,-0.003462,-0.004527,1.063389,-0.047900,-9.838740,0.107149,0.006405
1688904613632933,-0.000266,-0.003462,-0.004527,0.996328,-0.076641,-9.627979,0.104876,0.007210
1688904613644840,0.000000,-0.000799,-0.003196,0.996328,-0.076641,-9.627979,0.102666,0.008107
1688904613656901,0.000000,-0.000799,-0.003196,1.005908,-0.057480,-9.704619,0.103311,0.005748
1688904613669007,-0.002929,0.000533,0.001065,1.005908,-0.057480,-9.704619,0.102924,0.008138
1688904613680984,-0.002929,0.000533,0.001065,0.814307,-0.335303,-9.580078,0.101586,0.010141
1688904613692968,-0.002663,0.005326,0.002663,0.814307,-0.335303,-9.580078,0.100303,0.012163
1688904613705001,-0.002663,0.005326,0.002663,1.322051,0.325723,-11.160791,0.101314,0.009976
1688904613716995,0.021039,0.001598,-0.025300,1.322051,0.325723,-11.160791,0.102274,0.007481
1688904613728993,0.021039,0.001598,-0.025300,1.896856,-0.411943,-10.260264,0.104509,0.008095
1688904613740985,0.020773,-0.011185,-0.044208,1.896856,-0.411943,-10.260264,0.106587,0.008488
1688904613752994,0.020773,-0.011185,-0.044208,1.513652,0.526904,-10.997931,0.107592,0.005863
1688904613765006,-0.082824,-0.011185,-0.010386,1.513652,0.526904,-10.997931,0.108615,0.003516
1688904613776987,-0.082824,-0.011185,-0.010386,-1.820215,-0.143701,-11.112891,0.106099,0.003368
1688904613789018,-0.007723,0.255930,0.034887,-1.820215,-0.143701,-11.112891,0.106786,0.003863
1688904613801056,-0.007723,0.255930,0.034887,0.689766,-2.557881,-10.231524,0.109475,0.006656
1688904613813024,0.176301,0.207194,-0.161121,0.689766,-2.557881,-10.231524,0.111535,0.007338
1688904613825011,0.176301,0.207194,-0.161121,2.270479,-0.661025,-8.698711,0.116171,0.006660
1688904613837087,0.047404,0.242880,-0.148604,2.270479,-0.661025,-8.698711,0.121230,0.005993
1688904613849149,0.047404,0.242880,-0.148604,2.509981,0.402363,-9.034014,0.126408,0.003537
1688904613861079,-0.136886,0.034887,-0.017577,2.509981,0.402363,-9.034014,0.129100,0.002380
1688904613873081,-0.136886,0.034887,-0.017577,6.562354,0.392783,-9.350157,0.131896,0.001766
1688904613885112,-0.016245,-0.504935,-0.064448,6.562354,0.392783,-9.350157,0.128210,0.000781
1688904613897181,-0.016245,-0.504935,-0.064448,3.171006,-0.172441,-8.871153,0.124525,0.000179
1688904613909133,0.003462,-0.858337,-0.087352,3.171006,-0.172441,-8.871153,0.116600,-0.000664
1688904613921119,0.003462,-0.858337,-0.087352,0.172441,0.431104,-8.947793,0.104154,-0.002760
1688904613933182,-0.032757,-0.648480,-0.034088,0.172441,0.431104,-8.947793,0.094263,-0.004340
1688904613945175,-0.032757,-0.648480,-0.034088,-1.494492,0.450264,-10.059082,0.084121,-0.005176
1688904613957128,-0.015979,-0.685231,0.009321,-1.494492,0.450264,-10.059082,0.073538,-0.005479
1688904613969182,-0.015979,-0.685231,0.009321,-1.437012,0.153281,-9.637559,0.062923,-0.005490
1688904613981338,0.008522,-0.582167,0.047671,-1.437012,0.153281,-9.637559,0.053545,-0.005027
1688904613993208,0.008522,-0.582167,0.047671,-0.421523,-0.153281,-9.781260,0.044215,-0.003946
1688904614005256,0.047404,-0.487092,0.080427,-0.421523,-0.153281,-9.781260,0.036032,-0.002431
1688904614017137,0.047404,-0.487092,0.080427,0.574805,-0.182021,-9.733359,0.031954,0.000178
1688904614029253,0.052997,-0.284426,0.129430,0.574805,-0.182021,-9.733359,0.030520,0.003106
1688904614041223,0.052997,-0.284426,0.129430,0.067061,0.210762,-9.819580,0.025440,0.002949
1688904614053253,-0.022371,-0.004261,0.172040,0.067061,0.210762,-9.819580,0.023935,0.003098
1688904614065221,-0.022371,-0.004261,0.172040,0.277822,-0.603545,-11.783497,0.023867,0.007557
1688904614077216,0.029295,-0.026632,0.100667,0.277822,-0.603545,-11.783497,0.023527,0.011173
1688904614089193,0.029295,-0.026632,0.100667,0.364043,-0.469424,-11.055410,0.023892,0.014689
1688904614101199,-0.013316,0.075101,0.087085,0.364043,-0.469424,-11.055410,0.025537,0.018013
1688904614113237,-0.013316,0.075101,0.087085,-0.459844,-0.019160,-12.377461,0.024121,0.018445
1688904614125310,-0.025566,0.093211,0.123837,-0.459844,-0.019160,-12.377461,0.022932,0.019286
1688904614137198,-0.025566,0.093211,0.123837,-0.191602,0.067061,-9.014853,0.022004,0.019523
1688904614149214,0.035686,0.147006,0.050866,-0.191602,0.067061,-9.014853,0.021724,0.018874
1688904614161179,0.035686,0.147006,0.050866,0.574805,0.067061,-5.594766,0.025722,0.018641
1688904614173192,0.027164,0.311057,0.008256,0.574805,0.067061,-5.594766,0.031678,0.017864
1688904614185301,0.027164,0.311057,0.008256,-1.322051,-0.526904,-10.566827,0.033053,0.018456
1688904614197252,-0.027963,0.182693,0.068177,-1.322051,-0.526904,-10.566827,0.032898,0.019732
1688904614209219,-0.027963,0.182693,0.068177,0.613125,-0.785566,-11.783497,0.036001,0.022764
1688904614221294,-0.032224,0.024767,0.113717,0.613125,-0.785566,-11.783497,0.037127,0.026370
1688904614233383,-0.032224,0.024767,0.113717,1.590293,-0.258662,-10.490186,0.039832,0.027684
1688904614245308,0.006924,0.159257,0.075367,1.590293,-0.258662,-10.490186,0.044137,0.028529
1688904614257430,0.006924,0.159257,0.075367,0.383203,-0.546064,-8.909473,0.045956,0.031840
1688904614269285,0.046605,0.314253,-0.029295,0.383203,-0.546064,-8.909473,0.049460,0.033910
1688904614281357,0.046605,0.314253,-0.029295,-0.182021,-0.632285,-8.871153,0.051092,0.034723
1688904614293339,0.021838,0.257794,-0.053796,-0.182021,-0.632285,-8.871153,0.052037,0.035187
1688904614305383,0.021838,0.257794,-0.053796,1.005908,-0.498164,-10.547667,0.057427,0.035206
1688904614317360,-0.010120,0.162187,-0.041812,1.005908,-0.498164,-10.547667,0.061659,0.035428
1688904614329414,-0.010120,0.162187,-0.041812,1.245410,-0.383203,-9.675879,0.065998,0.035072
1688904614341386,-0.023436,0.201601,-0.045806,1.245410,-0.383203,-9.675879,0.070814,0.034682
1688904614353342,-0.023436,0.201601,-0.045806,0.986748,0.028740,-9.177715,0.074908,0.032387
1688904614365359,-0.005326,0.249006,-0.066845,0.986748,0.028740,-9.177715,0.079514,0.029810
1688904614377346,-0.005326,0.249006,-0.066845,0.900527,0.019160,-9.340576,0.083618,0.026878
1688904614389393,-0.005593,0.172839,-0.078830,0.900527,0.019160,-9.340576,0.086650,0.023722
1688904614401340,-0.005593,0.172839,-0.078830,1.283731,0.057480,-10.202784,0.090637,0.021324
1688904614413449,-0.011452,0.066046,-0.056459,1.283731,0.057480,-10.202784,0.093326,0.019162
1688904614425341,-0.011452,0.066046,-0.056459,1.360371,0.057480,-9.790840,0.096214,0.017308
1688904614437535,-0.002929,0.049002,-0.013316,1.360371,0.057480,-9.790840,0.098901,0.015989
1688904614449762,-0.002929,0.049002,-0.013316,1.130449,0.019160,-9.283096,0.101356,0.014319
1688904614461723,-0.003462,0.063650,-0.002663,1.130449,0.019160,-9.283096,0.103971,0.012757
1688904614473729,-0.003462,0.063650,-0.002663,0.708926,-0.038320,-9.771680,0.102436,0.012076
1688904614485862,0.007457,-0.007191,-0.009055,0.708926,-0.038320,-9.771680,0.100044,0.011349
1688904614497851,0.007457,-0.007191,-0.009055,1.369951,-0.009580,-9.474698,0.102282,0.010700
1688904614509967,0.017044,-0.079895,0.020506,1.369951,-0.009580,-9.474698,0.103648,0.010423
1688904614521774,0.017044,-0.079895,0.020506,1.168770,0.134121,-9.503438,0.104149,0.008780
1688904614533852,0.001332,-0.068443,0.049002,1.168770,0.134121,-9.503438,0.104827,0.007490
1688904614545922,0.001332,-0.068443,0.049002,0.900527,0.182021,-9.666299,0.103013,0.005885
1688904614557842,-0.011185,-0.064182,0.038616,0.900527,0.182021,-9.666299,0.101333,0.004105
1688904614569876,-0.011185,-0.064182,0.038616,0.584385,-0.095801,-9.618399,0.098199,0.004896
1688904614581832,-0.007723,-0.082824,0.033023,0.584385,-0.095801,-9.618399,0.094837,0.005604
